Common,Scientific,Type,Abundance,Category,Abbreviation
Capercaillie,Tetrao urogallus,Re-introduced Breeder,"1,000 - 10,000 Adults",CP,CAPER
Black Grouse,Lyrurus tetrix,Resident Breeder,"1,000 - 10,000 Males",BK,BLAGR
Ptarmigan,Lagopus muta,Resident Breeder,"1,000 - 10,000 Pairs",PM,PTARM
Red Grouse,Lagopus lagopus,Resident Breeder,"100,000 - 500,000 Pairs",RG,REDGR
Red-legged Partridge,Alectoris rufa,Introduced Breeder,"10,000 - 100,000 Territories",RL,RELPA
Grey Partridge,Perdix perdix,Resident/Introduced Breeder,"10,000 - 100,000 Territories",P.,GREPA
Quail,Coturnix coturnix,Migrant Breeder,500 - 1000 Males,Q.,QUAIL
Pheasant,Phasianus colchicus,Introduced Breeder,4 million Birds,PH,PHEAS
Golden Pheasant,Chrysolophus pictus,Introduced Breeder,100-500 Pairs,GF,GOLPH
Lady Amherst’s Pheasant,Chrysolophus amherstiae,Introduced Breeder,1-10 Males,LM,LAAPH
Brent Goose,Branta bernicla,Winter Visitor,"100,000 - 500,000 Birds",BG,BREGO
Red-breasted Goose,Branta ruficollis,Accidental,10 - 100 Records,EB,REBGO
Canada Goose,Branta canadensis,"Introduced Breeder, Accidental","10,000 - 100,000 Pairs",CG,CANGO
Cackling Goose,Branta hutchinsii,Accidental,10 - 100 Records,LQ,
Barnacle Goose,Branta leucopsis,"Escaped Breeder, Winter Visitor","100,000 - 500,000 Birds",BY,BARGO
Snow Goose,Anser caerulescens,Scarce Visitor,10 - 100 Birds,SJ,SNOGO
Greylag Goose,Anser anser,"Introduced/Resident Breeder, Winter Migrant","10,000 - 100,000 Pairs",GJ,GREGO
Taiga Bean Goose,Anser fabalis,Winter Migrant,100-500 Birds,XF,
Tundra Bean Goose,Anser serrirostris,Winter Migrant,100-500 Birds,XR,
Pink-footed Goose,Anser brachyrhynchus,Winter Migrant,"500,000 - 1 million Birds",PG,PIFGO
White-fronted Goose,Anser albifrons,Winter Migrant,"10,000 - 100,000 Birds",WG,WHFGO
Lesser White-fronted Goose,Anser erythropus,Accidental,100-500 Records,LC,LWFGO
Mute Swan,Cygnus olor,Resident/Introduced Breeder,"1,000 - 10,000 Pairs",MS,MUTSW
Bewick's Swan,Cygnus columbianus,Winter Migrant,"1,000 - 10,000 Birds",BS,BEWSW
Whooper Swan,Cygnus cygnus,"Scarce Breeder, Winter Migrant","10,000 - 100,000 Birds",WS,WHOSW
Egyptian Goose,Alopochen aegyptiaca,Introduced Breeder,"1,000 - 10,000 Pairs",EG,EGYGO
Shelduck,Tadorna tadorna,"Migrant/Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs",SU,SHELD
Ruddy Shelduck,Tadorna ferruginea,"Escaped, Former Visitor (Last Record 1946)",1-10 Records,UD,RUDSH
Mandarin Duck,Aix galericulata,Introduced Breeder,"1,000 - 10,000 Pairs",MN,MANDA
Baikal Teal,Sibirionetta formosa,Accidental,1-10 Records,IK,BAITE
Garganey,Spatula querquedula,"Migrant Breeder, Passage Visitor",100-500 Pairs,GY,GARGA
Blue-winged Teal,Spatula discors,Scarce Visitor,100-500 Records,TB,BLWTE
Shoveler,Spatula clypeata,"Migrant Breeder, Passage/Winter Visitor",500 - 1000 Pairs,SV,SHOVE
Gadwall,Mareca strepera,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",GA,GADWA
Falcated Duck,Mareca falcata,Accidental,1-10 Records,,
Wigeon,Mareca penelope,"Resident Breeder, Winter Visitor","100,000 - 500,000 Birds",WN,WIGEO
American Wigeon,Mareca americana,Scarce Visitor,10 - 100 Birds,AW,AMEWI
Mallard,Anas platyrhynchos,"Introduced/Resident Breeder, Winter Visitor","100,000 - 500,000 Pairs",MA,MALLA
American Black Duck,Anas rubripes,Accidental,10 - 100 Records,BD,BLADU
Pintail,Anas acuta,"Resident/Migrant Breeder, Winter Visitor","10,000 - 100,000 Birds",PT,PINTA
Teal,Anas crecca,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",T.,TEAL.
Green-winged Teal,Anas carolinensis,Scarce Visitor,10 - 100 Birds,TA,GRWTE
Red-crested Pochard,Netta rufina,"Escaped Breeder, Scarce Visitor",500 - 1000 Birds,RQ,RECPO
Canvasback,Aythya valisineria,Accidental,1-10 Records,VB,
Redhead,Aythya americana,Accidental,1-10 Records,AZ,
Pochard,Aythya ferina,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Birds",PO,POCHA
Ferruginous Duck,Aythya nyroca,Accidental,1-10 Birds,FD,FERDU
Ring-necked Duck,Aythya collaris,Scarce Visitor,10 - 100 Birds,NG,RINDU
Tufted Duck,Aythya fuligula,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",TU,TUFDU
Scaup,Aythya marila,"Scarce Breeder, Passage/Winter Visitor","1,000 - 10,000 Birds",SP,SCAUP
Lesser Scaup,Aythya affinis,Scarce Visitor,1-10 Birds,AY,
Steller’s Eider,Polysticta stelleri,Accidental,10 - 100 Records,ES,STEEI
King Eider,Somateria spectabilis,Accidental,100-500 Records,KE,KINEI
Eider,Somateria mollissima,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs",E.,EIDER
Harlequin Duck,Histrionicus histrionicus,Accidental,10 - 100 Records,HQ,HARDU
Surf Scoter,Melanitta perspicillata,Scarce Visitor,10 - 100 Birds,FS,SURSC
Velvet Scoter,Melanitta fusca,Passage/Winter Visitor,"1,000 - 10,000 Birds",VS,VELSC
White-winged Scoter,Melanitta deglandi,Accidental,1-10 Records,,
Common Scoter,Melanitta nigra,"Resident/Migrant Breeder, Passage/Winter Visitor","100,000 - 500,000 Birds",CX,COMSC
Black Scoter,Melanitta americana,Accidental,10 - 100 Records,DX,BLASC
Long-tailed Duck,Clangula hyemalis,"Scarce Breeder, Winter Visitor","10,000 - 100,000 Birds",LN,LOTDU
Bufflehead,Bucephala albeola,Accidental,10 - 100 Records,VH,BUFFL
Goldeneye,Bucephala clangula,"Resident Breeder, Passage/Winter Visitor",100-500 Females,GN,GOLDE
Barrow’s Goldeneye,Bucephala islandica,Accidental,1-10 Records,VG,BRWGO
Smew,Mergellus albellus,Winter Visitor,100-500 Birds,SY,SMEW.
Hooded Merganser,Lophodytes cucullatus,Accidental,1-10 Records,,
Goosander,Mergus merganser,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",GD,GOOSA
Red-breasted Merganser,Mergus serrator,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",RM,REBME
Ruddy Duck,Oxyura jamaicensis,Introduced Breeder,10 - 100 Birds,RY,RUDDU
Common Nighthawk,Chordeiles minor,Accidental,10 - 100 Records,,COMNI
Red-necked Nightjar,Caprimulgus ruficollis,Not Recorded since 1856,,,RENNI
Nightjar,Caprimulgus europaeus,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males",NJ,NIJAR
Egyptian Nightjar,Caprimulgus aegyptius,Accidental,1-10 Records,,EGYNI
White-throated Needletail,Hirundapus caudacutus,Accidental,1-10 Records,NI,NETSW
Chimney Swift,Chaetura pelagica,Accidental,10 - 100 Records,,CHISW
Alpine Swift,Tachymarptis melba,Scarce Visitor,10 - 100 Birds,AI,ALPSW
Swift,Apus apus,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",SI,SWIFT
Pallid Swift,Apus pallidus,Accidental,10 - 100 Records,II,PALSW
Pacific Swift,Apus pacificus,Accidental,1-10 Records,,PACSW
Little Swift,Apus affinis,Accidental,10 - 100 Records,,LITSW
White-rumped Swift,Apus caffer,Accidental,1-10 Records,,
Ruby-throated Hummingbird,Archilochus colubris,"Reported, but does not occur",0 Records,,RUTHU
Great Bustard,Otis tarda,"Re-introduced Breeder, Accidental",10 - 100 Records,US,GREBU
Macqueen’s Bustard,Chlamydotis macqueenii,Accidental,1-10 Records,,
Little Bustard,Tetrax tetrax,Accidental,10 - 100 Records,,LITBS
Great Spotted Cuckoo,Clamator glandarius,Accidental,10 - 100 Records,UK,GRSCU
Yellow-billed Cuckoo,Coccyzus americanus,Accidental,10 - 100 Records,,YEBCU
Black-billed Cuckoo,Coccyzus erythropthalmus,Accidental,10 - 100 Records,,BLBCU
Cuckoo,Cuculus canorus,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",CK,CUCKO
Pallas’s Sandgrouse,Syrrhaptes paradoxus,"Accidental, Has Bred",1-10 Records,,PALSA
Rock Dove,Columba livia,Resident Breeder,"500,000 - 1 million Pairs",DV,ROCDO
Stock Dove,Columba oenas,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories",SD,STODO
Woodpigeon,Columba palumbus,"Resident Breeder, Winter Visitor",5.3 million Pairs,WP,WOODP
Turtle Dove,Streptopelia turtur,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories",TD,TURDO
Oriental Turtle Dove,Streptopelia orientalis,Accidental,10 - 100 Records,,RUTDO
Collared Dove,Streptopelia decaocto,Resident Breeder,"500,000 - 1 million Pairs",CD,COLDO
Mourning Dove,Zenaida macroura,Accidental,1-10 Records,,
Water Rail,Rallus aquaticus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Territories",WA,WATRA
Corncrake,Crex crex,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males",CE,CORNC
Little Crake,Porzana parva,Accidental,10 - 100 Records,JC,LITCR
Baillon’s Crake,Porzana pusilla,"Occasional Breeder, Accidental",10 - 100 Records,VC,BAICR
Spotted Crake,Porzana porzana,"Scarce Breeder, Passage Visitor",10 - 100 Males,AK,SPOCR
Sora,Porzana carolina,Accidental,10 - 100 Records,JR,SORA.
Western Swamphen,Porphyrio porphyrio,Accidental,1-10 Records,,PURSW
Allen’s Gallinule,Porphyrio alleni,Accidental,1-10 Records,,ALLGA
American Purple Gallinule,Porphyrio martinica,Accidental,1-10 Records,,AMPGA
Moorhen,Gallinula chloropus,"Resident Breeder, Winter Visitor","100,000 - 500,000 Territories",MH,MOORH
Coot,Fulica atra,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs",CO,COOT.
American Coot,Fulica americana,Accidental,1-10 Records,AO,AMECO
Sandhill Crane,Antigone canadensis,Accidental,1-10 Records,,SANCR
Crane,Grus grus,"Resident/Re-introduced Breeder, Passage Visitor",10 - 100 Pairs,AN,CRANE
Little Grebe,Tachybaptus ruficollis,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",LG,LITGR
Pied-billed Grebe,Podilymbus podiceps,Accidental,10 - 100 Records,PJ,PIBGR
Red-necked Grebe,Podiceps grisegena,"Scarce Breeder, Winter Visitor",10 - 100 Birds,RX,RENGR
Great Crested Grebe,Podiceps cristatus,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",GG,GRCGR
Slavonian Grebe,Podiceps auritus,"Resident Breeder, Winter Visitor",10 - 100 Pairs,SZ,SLAGR
Black-necked Grebe,Podiceps nigricollis,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BN,BLNGR
Stone-curlew,Burhinus oedicnemus,Migrant Breeder,100-500 Pairs,TN,STOCU
Oystercatcher,Haematopus ostralegus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",OC,OYSTE
Black-winged Stilt,Himantopus himantopus,"Scarce Visitor, Has Bred",100-500 Records,IT,BLWST
Avocet,Recurvirostra avosetta,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",AV,AVOCE
Lapwing,Vanellus vanellus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",L.,LAPWI
Sociable Lapwing,Vanellus gregarius,Accidental,10 - 100 Records,IP,SOCPL
White-tailed Lapwing,Vanellus leucurus,Accidental,1-10 Records,,WHTPL
Golden Plover,Pluvialis apricaria,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",GP,GOLPL
Pacific Golden Plover,Pluvialis fulva,Accidental,10 - 100 Records,IF,PAGPL
American Golden Plover,Pluvialis dominica,Scarce Visitor,10 - 100 Birds,ID,AMGPL
Grey Plover,Pluvialis squatarola,Passage/Winter Visitor,"10,000 - 100,000 Birds",GV,GREPL
Ringed Plover,Charadrius hiaticula,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",RP,RINPL
Semipalmated Plover,Charadrius semipalmatus,Accidental,1-10 Records,TV,SEMPL
Little Ringed Plover,Charadrius dubius,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",LP,LIRPL
Killdeer,Charadrius vociferus,Accidental,10 - 100 Records,KL,KILLD
Kentish Plover,Charadrius alexandrinus,"Former Breeder, Scarce Visitor",10 - 100 Birds,KP,KENPL
Lesser Sand Plover,Charadrius mongolus,Accidental,1-10 Records,DQ,
Greater Sand Plover,Charadrius leschenaultii,Accidental,10 - 100 Records,DP,GRSPL
Caspian Plover,Charadrius asiaticus,Accidental,1-10 Records,,CASPL
Dotterel,Charadrius morinellus,"Migrant Breeder, Passage Visitor",500 - 1000 Males,DO,DOTTE
Upland Sandpiper,Bartramia longicauda,Accidental,10 - 100 Records,UP,UPLSA
Whimbrel,Numenius phaeopus,"Migrant Breeder, Passage Visitor",500 - 1000 Pairs,WM,WHIMB
Little Curlew,Numenius minutus,Accidental,1-10 Records,,LITWH
Eskimo Curlew,Numenius borealis,"Extinct (1963), Last Record 1887",,,ESKCU
Curlew,Numenius arquata,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",CU,CURLE
Bar-tailed Godwit,Limosa lapponica,Passage/Winter Visitor,"10,000 - 100,000 Birds",BA,BATGO
Black-tailed Godwit,Limosa limosa,"Migrant Breeder, Passage/Winter Visitor",100-500 Pairs,BW,BLTGO
Hudsonian Godwit,Limosa haemastica,Accidental,1-10 Records,HU,HUDGO
Turnstone,Arenaria interpres,"Scarce Breeder, Passage/Winter Visitor","10,000 - 100,000 Birds",TT,TURNS
Great Knot,Calidris tenuirostris,Accidental,1-10 Records,KO,
Knot,Calidris canutus,Passage/Winter Visitor,"100,000 - 500,000 Birds",KN,KNOT.
Ruff,Calidris pugnax,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,RU,RUFF.
Broad-billed Sandpiper,Calidris falcinellus,Accidental,100-500 Records,OA,BRBSA
Sharp-tailed Sandpiper,Calidris acuminata,Accidental,10 - 100 Records,VV,SHTSA
Stilt Sandpiper,Calidris himantopus,Accidental,10 - 100 Records,MI,STISA
Curlew Sandpiper,Calidris ferruginea,Passage Visitor,500 - 1000 Birds,CV,CURSA
Temminck’s Stint,Calidris temminckii,"Scarce Breeder, Passage Visitor",100-500 Birds,TK,TEMST
Long-toed Stint,Calidris subminuta,Accidental,1-10 Records,,LOTST
Red-necked Stint,Calidris ruficollis,Accidental,1-10 Records,,
Sanderling,Calidris alba,Passage/Winter Visitor,"10,000 - 100,000 Birds",SS,SANDE
Dunlin,Calidris alpina,"Migrant Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",DN,DUNLI
Purple Sandpiper,Calidris maritima,"Scarce Breeder, Passage/Winter Visitor","1,000 - 10,000 Birds",PS,PURSA
Baird’s Sandpiper,Calidris bairdii,Accidental,100-500 Records,BP,BAISA
Little Stint,Calidris minuta,Passage Visitor,500 - 1000 Birds,LX,LITST
Least Sandpiper,Calidris minutilla,Accidental,10 - 100 Records,EP,LEASA
White-rumped Sandpiper,Calidris fuscicollis,Scarce Visitor,10 - 100 Birds,WU,WHRSA
Buff-breasted Sandpiper,Calidris subruficollis,Scarce Visitor,10 - 100 Birds,BQ,BUBSA
Pectoral Sandpiper,Calidris melanotos,"Scarce Visitor, Has probably bred",100-500 Birds,PP,PECSA
Semipalmated Sandpiper,Calidris pusilla,Scarce Visitor,100-500 Records,PZ,SEMSA
Western Sandpiper,Calidris mauri,Accidental,1-10 Records,ER,WESSA
Long-billed Dowitcher,Limnodromus scolopaceus,Accidental,100-500 Records,LD,LOBDO
Short-billed Dowitcher,Limnodromus griseus,Accidental,1-10 Records,,SHBDO
Woodcock,Scolopax rusticola,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Males",WK,WOODC
Jack Snipe,Lymnocryptes minimus,Passage/Winter Visitor,"100,000 - 500,000 Birds",JS,JACSN
Great Snipe,Gallinago media,Accidental,100-500 Records,DS,GRESN
Snipe,Gallinago gallinago,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",SN,SNIPE
Wilson's Snipe,Gallinago delicata,Accidental,1-10 Records,,
Terek Sandpiper,Xenus cinereus,Accidental,10 - 100 Records,TR,TERSA
Wilson’s Phalarope,Phalaropus tricolor,Accidental,100-500 Records,WF,WILPH
Red-necked Phalarope,Phalaropus lobatus,"Migrant Breeder, Passage Visitor",10 - 100 Males,NK,RENPH
Grey Phalarope,Phalaropus fulicarius,Passage Visitor,100-500 Birds,PL,GREPH
Common Sandpiper,Actitis hypoleucos,"Migrant Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",CS,COMSA
Spotted Sandpiper,Actitis macularius,"Accidental, Has Bred",100-500 Records,PQ,SPOSA
Green Sandpiper,Tringa ochropus,"Scarce Breeder, Passage/Winter Visitor",,GE,GRESA
Solitary Sandpiper,Tringa solitaria,Accidental,10 - 100 Records,I.,SOLSA
Grey-tailed Tattler,Tringa brevipes,Accidental,1-10 Records,YT,
Lesser Yellowlegs,Tringa flavipes,Accidental,100-500 Records,LY,LESYE
Redshank,Tringa totanus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",RK,REDSH
Marsh Sandpiper,Tringa stagnatilis,Accidental,100-500 Records,MD,MARSA
Wood Sandpiper,Tringa glareola,"Scarce Breeder, Passage Visitor",,OD,WOOSA
Spotted Redshank,Tringa erythropus,Passage/Winter Visitor,100-500 Birds,DR,SPORE
Greenshank,Tringa nebularia,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",GK,GRESH
Greater Yellowlegs,Tringa melanoleuca,Accidental,10 - 100 Records,LZ,GREYE
Cream-coloured Courser,Cursorius cursor,Accidental,1-10 Records,,CRCCO
Collared Pratincole,Glareola pratincola,Scarce Visitor,10 - 100 Records,KM,COLPR
Oriental Pratincole,Glareola maldivarum,Accidental,1-10 Records,GM,
Black-winged Pratincole,Glareola nordmanni,Accidental,10 - 100 Records,KW,BLWPR
Kittiwake,Rissa tridactyla,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",KI,KITTI
Ivory Gull,Pagophila eburnea,Accidental,10 - 100 Records,IV,IVOGU
Sabine’s Gull,Xema sabini,Passage Visitor,100-500 Birds,AB,SABGU
Slender-billed Gull,Chroicocephalus genei,Accidental,10 - 100 Records,EI,SLEGU
Bonaparte’s Gull,Chroicocephalus philadelphia,Accidental,100-500 Records,ON,BONGU
Black-headed Gull,Chroicocephalus ridibundus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",BH,BLHGU
Little Gull,Hydrocoloeus minutus,"Scarce Breeder, Passage/Winter Visitor",,LU,LITGU
